Manufacturer,Automobile,Production,Sales,Sales_clean,Production_years
Nissan,Nissan Maxima,1981–2023,"1,700,000 in the first five generations up to 2001.[371]",1700000.0,43.0
Nissan,Nissan Micra,1982–2023,"European version the Nissan March; 2,368,704 units built by UK plant in Sunderland between 10 August 1992 to 16 July 2010.[372][373]",2368704.0,42.0
Nissan,Nissan Qashqai/Rogue Sport,2006–present,"Over 3,155,000 sold to 2006 in Europe, Russia and China to June 2017 in two generations.[374][375]",3155000.0,21.0
Nissan,Nissan Tiida/Versa,2004–2023,"1,000,715 between September 2004 and March 2008.[376]",1000715.0,20.0
Nissan,Nissan Sunny/Sentra/Pulsar/Almera,1966–present,"Over 15,900,000 in ten generations.[277]",15900000.0,61.0
Nissan,Nissan Z-cars,"1969–99, 2003–present","1,535,000 in five generations up to 2005; Bestselling sports car series in automotive history.[377]",1535000.0,31.0
Oldsmobile,Oldsmobile Aurora,1995–2003,"208,011 across two generations.",208011.0,9.0
Oldsmobile,Oldsmobile Cutlass,1961–99,"11,900,000 across several platforms and generations.[378]",11900000.0,39.0
Oldsmobile,Oldsmobile 88,1949–99,"Oldsmobile's second longest running nameplate and best selling full-size nameplate; approximately 8,800,000 in ten generations.[24][25]",8800000.0,51.0
Opel,Opel Ascona,1970–88,"4,400,000 in three generations, including the UK-market Vauxhall Cavalier, and the South African-market Chevrolet Ascona.[379]",4400000.0,19.0
Opel,Opel Astra,1991–present,"Over 10,000,000 in three generations. Sold as Vauxhall Astra in the United Kingdom.[380]",10000000.0,36.0
Opel,Opel Corsa,1982–present,"Over 18,000,000 sold worldwide in 25 years and in 4 generations. 10 million of them were sold only in Europe. Sold in the UK as the Vauxhall Corsa (the first generation version was sold as Vauxhall Nova)[381]",18000000.0,45.0
Opel,Opel Vectra,1988–2008,"4,500,000 in the first two generations up to 2002, also including UK sales as the Vauxhall Cavalierthen as Vauxhall Vectra.[379]",4500000.0,21.0
Oreca,Oreca 07,2017–2022,"99 chassis. Numbers accounts for 8 Acura ARX-05, 9 updates of the Oreca 05 and the re-named but identical Alpine LMP2s and Aurus 01s but excludes the Rebellion R13.[382][383][384]",99.0,6.0
Packard,Packard Eight,1933–36 1938 1942 1948–50,"Packard's best selling nameplate; approximately 250,000 built over five generations.[24][84]",250000.0,4.0
Pagani,Pagani Huayra,2012–present,100 reported sales over one generation.[385],100.0,15.0
Panoz,Panoz Esperante,1997 2000–2007 2014–2015,330 road cars built over one generation to end of 2006.[nb 1][386],330.0,4.0
Panoz,Panoz Roadster,1992–1995 1996–1999,220 built over one generation.[387],220.0,4.0
Peel,Peel P50,1962–65,47 over one generation.[388],47.0,4.0
Peel,Peel Trident,1965–66,82 over one generation.[389],82.0,2.0
Peugeot,Peugeot 204,1965–76,"1,604,296 in a single generation.[390]",1604296.0,12.0
Peugeot,Peugeot 205,1983–98,"A total of 5,278,050 in a single generation.[391]",5278050.0,16.0
Peugeot,Peugeot 206,1998–2013,"Over 10,000,000 in a single generation to 2019; PSA Peugeot Citroën's bestselling car.[392]",10000000.0,16.0
Peugeot,Peugeot 504,1968–2006,"More than 3,000,000 built in France, Argentina, China, Kenya and Nigeria.[393]",3000000.0,39.0
Peugeot,Peugeot 406 coupé,1997–2004,"107,631[394] built in Italy (San Giorgio Canavese).",107631.0,8.0
